"base","month","count"
"B02512",4,35536
"B02512",5,36765
"B02512",6,32509
"B02512",7,35021
"B02512",8,31472
"B02512",9,34370
"B02598",4,183263
"B02598",5,260549
"B02598",6,242975
"B02598",7,245597
"B02598",8,220129
"B02598",9,240600
"B02617",4,108001
"B02617",5,122734
"B02617",6,184460
"B02617",7,310160
"B02617",8,355803
"B02617",9,377695
"B02682",4,227808
"B02682",5,222883
"B02682",6,194926
"B02682",7,196754
"B02682",8,173280
"B02682",9,197138
"B02764",4,9908
"B02764",5,9504
"B02764",6,8974
"B02764",7,8589
"B02764",8,48591
"B02764",9,178333
