"base","weekday","count"
"B02512","Friday",33319
"B02512","Monday",25460
"B02512","Saturday",26773
"B02512","Sunday",20490
"B02512","Thursday",35032
"B02512","Tuesday",31670
"B02512","Wednesday",32929
"B02598","Friday",229908
"B02598","Monday",163542
"B02598","Saturday",198832
"B02598","Sunday",146652
"B02598","Thursday",235157
"B02598","Tuesday",202378
"B02598","Wednesday",216644
"B02617","Friday",234379
"B02617","Monday",176416
"B02617","Saturday",206554
"B02617","Sunday",164452
"B02617","Thursday",240216
"B02617","Tuesday",214167
"B02617","Wednesday",222669
"B02682","Friday",201594
"B02682","Monday",143372
"B02682","Saturday",170160
"B02682","Sunday",126511
"B02682","Thursday",205091
"B02682","Tuesday",176198
"B02682","Wednesday",189863
"B02764","Friday",41939
"B02764","Monday",32682
"B02764","Saturday",43795
"B02764","Sunday",32075
"B02764","Thursday",39649
"B02764","Tuesday",39376
"B02764","Wednesday",34383
