"day","month","count"
1,4,14546
1,5,23375
1,6,15967
1,7,21228
1,8,32353
1,9,19961
2,4,17474
2,5,24235
2,6,17503
2,7,26480
2,8,28678
2,9,28831
3,4,20701
3,5,22234
3,6,22674
3,7,21597
3,8,23146
3,9,32631
4,4,26714
4,5,13918
4,6,22831
4,7,14148
4,8,24952
4,9,38360
5,4,19521
5,5,17859
5,6,28371
5,7,10890
5,8,28094
5,9,42319
6,4,13445
6,5,19300
6,6,24683
6,7,11443
6,8,30495
6,9,40520
7,4,19550
7,5,21891
7,6,20889
7,7,18280
7,8,32759
7,9,30134
8,4,16188
8,5,27513
8,6,15749
8,7,25763
8,8,30411
8,9,30360
9,4,16843
9,5,26385
9,6,23244
9,7,27817
9,8,26286
9,9,34560
10,4,20041
10,5,22550
10,6,22874
10,7,30541
10,8,20584
10,9,35910
11,4,20420
11,5,14901
11,6,25716
11,7,28752
11,8,22632
11,9,36439
12,4,18170
12,5,17470
12,6,29844
12,7,25936
12,8,29646
12,9,39540
13,4,12112
13,5,19498
13,6,31207
13,7,21082
13,8,29788
13,9,43205
14,4,12674
14,5,22218
14,6,19327
14,7,27350
14,8,30457
14,9,28122
15,4,20641
15,5,26301
15,6,14511
15,7,33845
15,8,28974
15,9,29454
16,4,17717
16,5,32493
16,6,17778
16,7,28607
16,8,26234
16,9,36092
17,4,20973
17,5,22294
17,6,21807
17,7,30710
17,8,21209
17,9,35531
18,4,18074
18,5,16508
18,6,24647
18,7,29860
18,8,21956
18,9,40274
19,4,14602
19,5,18315
19,6,28594
19,7,25726
19,8,24834
19,9,41017
20,4,11017
20,5,20860
20,6,24271
20,7,21212
20,8,27955
20,9,38864
21,4,13162
21,5,23508
21,6,19940
21,7,23578
21,8,32304
21,9,28620
22,4,16975
22,5,26802
22,6,16322
22,7,29029
22,8,29512
22,9,28312
23,4,20346
23,5,26465
23,6,17735
23,7,34073
23,8,27097
23,9,30316
24,4,23352
24,5,14651
24,6,20779
24,7,32050
24,8,22036
24,9,31301
25,4,25095
25,5,10841
25,6,26460
25,7,29975
25,8,22093
25,9,38203
26,4,24925
26,5,10202
26,6,28516
26,7,27708
26,8,24550
26,9,37504
27,4,14677
27,5,17004
27,6,24895
27,7,22590
27,8,27018
27,9,39468
28,4,15475
28,5,22240
28,6,21208
28,7,23981
28,8,28597
28,9,29656
29,4,22835
29,5,24930
29,6,17107
29,7,27589
29,8,27424
29,9,29201
30,4,36251
30,5,24413
30,6,18395
30,7,30740
30,8,23930
30,9,33431
31,5,21261
31,7,33541
31,8,23271
