"hour","month","count"
0,4,11910
0,5,13875
0,6,14514
0,7,17953
0,8,21451
0,9,24133
1,4,7769
1,5,8186
1,6,9167
1,7,11527
1,8,14471
1,9,16107
2,4,4935
2,5,5372
2,6,6189
2,7,8562
2,8,10105
2,9,10702
3,4,5040
3,5,5946
3,6,6937
3,7,9199
3,8,10376
3,9,10789
4,4,6095
4,5,6945
4,6,7701
4,7,10040
4,8,11774
4,9,12675
5,4,9476
5,5,10789
5,6,11955
5,7,14932
5,8,16525
5,9,20262
6,4,18498
6,5,21015
6,6,22030
6,7,23456
6,8,24907
6,9,33307
7,4,24924
7,5,27413
7,6,30834
7,7,32545
7,8,34064
7,9,43314
8,4,22843
8,5,25460
8,6,29771
8,7,33387
8,8,34566
8,9,44477
9,4,17939
9,5,20507
9,6,24298
9,7,28486
9,8,30195
9,9,38542
10,4,17865
10,5,20801
10,6,23584
10,7,28558
10,8,30706
10,9,37634
11,4,18774
11,5,22055
11,6,24155
11,7,30120
11,8,31778
11,9,38821
12,4,19425
12,5,23595
12,6,25233
12,7,30900
12,8,32106
12,9,39193
13,4,22603
13,5,27699
13,6,28937
13,7,35832
13,8,35764
13,9,45042
14,4,27190
14,5,34363
14,6,34428
14,7,41357
14,8,40644
14,9,52643
15,4,35324
15,5,43087
15,6,41586
15,7,46053
15,8,48197
15,9,61219
16,4,42003
16,5,49127
16,6,48162
16,7,52403
16,8,53481
16,9,68224
17,4,45475
17,5,51508
17,6,50452
17,7,58260
17,8,57122
17,9,73373
18,4,43003
18,5,48965
18,6,45013
18,7,57268
18,8,55390
18,9,75040
19,4,38923
19,5,42387
19,6,38203
19,7,52332
19,8,53008
19,9,69660
20,4,36244
20,5,40731
20,6,40108
20,7,51859
20,8,51674
20,9,63988
21,4,36964
21,5,42217
21,6,40791
21,7,49528
21,8,51354
21,9,60606
22,4,30645
22,5,35556
22,6,35614
22,7,42218
22,8,46008
22,9,51817
23,4,20649
23,5,24836
23,6,24182
23,7,29346
23,8,33609
23,9,36568
