"weekday","hour","count"
"Friday",0,13716
"Friday",1,8163
"Friday",2,5350
"Friday",3,6930
"Friday",4,8806
"Friday",5,13450
"Friday",6,23412
"Friday",7,32061
"Friday",8,31509
"Friday",9,25230
"Friday",10,24176
"Friday",11,25188
"Friday",12,25907
"Friday",13,30341
"Friday",14,36206
"Friday",15,43673
"Friday",16,48169
"Friday",17,51961
"Friday",18,54762
"Friday",19,49595
"Friday",20,43542
"Friday",21,48323
"Friday",22,49409
"Friday",23,41260
"Monday",0,6436
"Monday",1,3737
"Monday",2,2938
"Monday",3,6232
"Monday",4,9640
"Monday",5,15032
"Monday",6,23746
"Monday",7,31159
"Monday",8,29265
"Monday",9,22197
"Monday",10,20288
"Monday",11,20333
"Monday",12,20488
"Monday",13,23385
"Monday",14,28157
"Monday",15,32744
"Monday",16,38770
"Monday",17,42023
"Monday",18,37000
"Monday",19,34159
"Monday",20,32849
"Monday",21,28925
"Monday",22,20158
"Monday",23,11811
"Saturday",0,27633
"Saturday",1,19189
"Saturday",2,12710
"Saturday",3,9542
"Saturday",4,6846
"Saturday",5,7084
"Saturday",6,8579
"Saturday",7,11014
"Saturday",8,14411
"Saturday",9,17669
"Saturday",10,20596
"Saturday",11,22718
"Saturday",12,24298
"Saturday",13,26636
"Saturday",14,31418
"Saturday",15,38769
"Saturday",16,43512
"Saturday",17,42844
"Saturday",18,45883
"Saturday",19,41098
"Saturday",20,38714
"Saturday",21,43826
"Saturday",22,47951
"Saturday",23,43174
"Sunday",0,32877
"Sunday",1,23015
"Sunday",2,15436
"Sunday",3,10597
"Sunday",4,6374
"Sunday",5,6169
"Sunday",6,6596
"Sunday",7,8728
"Sunday",8,12128
"Sunday",9,16401
"Sunday",10,19839
"Sunday",11,22856
"Sunday",12,23911
"Sunday",13,26417
"Sunday",14,28151
"Sunday",15,31112
"Sunday",16,33038
"Sunday",17,31521
"Sunday",18,28291
"Sunday",19,25948
"Sunday",20,25076
"Sunday",21,23967
"Sunday",22,19566
"Sunday",23,12166
"Thursday",0,9293
"Thursday",1,5290
"Thursday",2,3719
"Thursday",3,5637
"Thursday",4,8505
"Thursday",5,14169
"Thursday",6,27065
"Thursday",7,37038
"Thursday",8,35431
"Thursday",9,27812
"Thursday",10,25877
"Thursday",11,25966
"Thursday",12,26465
"Thursday",13,30840
"Thursday",14,36699
"Thursday",15,44442
"Thursday",16,50560
"Thursday",17,56704
"Thursday",18,55825
"Thursday",19,51907
"Thursday",20,51990
"Thursday",21,51953
"Thursday",22,44194
"Thursday",23,27764
"Tuesday",0,6237
"Tuesday",1,3509
"Tuesday",2,2571
"Tuesday",3,4494
"Tuesday",4,7548
"Tuesday",5,14241
"Tuesday",6,26872
"Tuesday",7,36599
"Tuesday",8,33934
"Tuesday",9,25023
"Tuesday",10,23676
"Tuesday",11,23679
"Tuesday",12,23850
"Tuesday",13,29075
"Tuesday",14,34846
"Tuesday",15,41338
"Tuesday",16,48667
"Tuesday",17,55500
"Tuesday",18,50186
"Tuesday",19,44789
"Tuesday",20,44661
"Tuesday",21,39913
"Tuesday",22,27712
"Tuesday",23,14869
"Wednesday",0,7644
"Wednesday",1,4324
"Wednesday",2,3141
"Wednesday",3,4855
"Wednesday",4,7511
"Wednesday",5,13794
"Wednesday",6,26943
"Wednesday",7,36495
"Wednesday",8,33826
"Wednesday",9,25635
"Wednesday",10,24696
"Wednesday",11,24963
"Wednesday",12,25533
"Wednesday",13,29183
"Wednesday",14,35148
"Wednesday",15,43388
"Wednesday",16,50684
"Wednesday",17,55637
"Wednesday",18,52732
"Wednesday",19,47017
"Wednesday",20,47772
"Wednesday",21,44553
"Wednesday",22,32868
"Wednesday",23,18146
